moves, guesses, result, moves, guesses, result, moves, guesses, result
4, 3, lost, 100, 1, won, 19, 2, won, 
2, 1, lost, 4, 3, lost, 12, 5, lost, 
288, 13, lost, 8, 1, lost, 3, 2, lost, 
2, 1, lost, 56, 5, lost, 41, 0, won, 
282, 8, lost, 87, 7, lost, 33, 1, won, 
2, 1, lost, 53, 2, lost, 18, 5, lost, 
2, 1, lost, 106, 1, won, 27, 0, won, 
2, 1, lost, 139, 0, won, 24, 0, won, 
2, 1, lost, 99, 2, lost, 23, 0, won, 
6, 5, lost, 121, 2, won, 3, 2, lost, 
18, 4, lost, 133, 0, won, 25, 2, won, 
11, 6, lost, 120, 0, won, 2, 1, lost, 
12, 4, lost, 121, 0, won, 21, 0, won, 
41, 3, lost, 32, 4, lost, 19, 2, won, 
7, 2, lost, 2, 1, lost, 3, 2, lost, 
3, 2, lost, 6, 4, lost, 3, 2, lost, 
3, 2, lost, 152, 3, won, 4, 2, lost, 
104, 4, lost, 21, 4, lost, 27, 0, won, 
2, 1, lost, 118, 1, won, 34, 0, won, 
3, 2, lost, 128, 1, won, 23, 0, won, 
8, 4, lost, 117, 3, won, 32, 6, won, 
3, 2, lost, 131, 3, lost, 26, 0, won, 
2, 1, lost, 11, 4, lost, 30, 0, won, 
5, 4, lost, 2, 1, lost, 27, 2, won, 
2, 1, lost, 119, 6, won, 31, 2, won, 
187, 4, lost, 110, 2, won, 27, 0, won, 
203, 8, lost, 105, 4, lost, 32, 1, won, 
27, 8, lost, 2, 1, lost, 37, 2, won, 
26, 6, lost, 97, 4, lost, 25, 1, won, 
296, 4, lost, 2, 1, lost, 29, 1, won, 
2, 1, lost, 77, 4, lost, 26, 5, won, 
157, 6, lost, 6, 5, lost, 22, 0, won, 
5, 4, lost, 118, 0, won, 29, 1, won, 
2, 1, lost, 128, 0, won, 32, 0, won, 
113, 8, lost, 8, 5, lost, 41, 1, won, 
4, 1, lost, 121, 3, won, 17, 0, won, 
11, 4, lost, 117, 3, won, 31, 5, lost, 
7, 4, lost, 3, 2, lost, 28, 0, won, 
123, 6, lost, 108, 2, won, 30, 1, won, 
2, 1, lost, 2, 1, lost, 18, 5, lost, 
5, 1, lost, 2, 1, lost, 21, 0, won, 
16, 4, lost, 17, 1, lost, 18, 0, won, 
252, 9, lost, 118, 2, won, 30, 3, won, 
53, 6, lost, 111, 4, lost, 26, 0, won, 
146, 3, lost, 115, 1, won, 11, 1, lost, 
9, 3, lost, 115, 4, lost, 34, 1, won, 
6, 5, lost, 110, 1, lost, 2, 1, lost, 
89, 3, lost, 131, 3, lost, 27, 3, won, 
39, 4, lost, 87, 4, lost, 27, 2, won, 
3, 2, lost, 7, 3, lost, 32, 0, won, 
